"Month","Sales"
"1901/01/01",266.0
"1901/02/01",145.9
"1901/03/01",183.1
"1901/04/01",119.3
"1901/05/01",180.3
"1901/06/01",168.5
"1901/07/01",231.8
"1901/08/01",224.5
"1901/09/01",192.8
"1901/10/01",122.9
"1901/11/01",336.5
"1901/12/01",185.9
"1902/01/01",194.3
"1902/02/01",149.5
"1902/03/01",210.1
"1902/04/01",273.3
"1902/05/01",191.4
"1902/06/01",287.0
"1902/07/01",226.0
"1902/08/01",303.6
"1902/09/01",289.9
"1902/10/01",421.6
"1902/11/01",264.5
"1902/12/01",342.3
"1903/01/01",339.7
"1903/02/01",440.4
"1903/03/01",315.9
"1903/04/01",439.3
"1903/05/01",401.3
"1903/06/01",437.4
"1903/07/01",575.5
"1903/08/01",407.6
"1903/09/01",682.0
"1903/10/01",475.3
"1903/11/01",581.3
"1903/12/01",646.9
