index_code,date,open,close,low,high,volume,money,change,label
sh000001,33227.0000 ,104.3000 ,104.3900 ,99.9800 ,104.3900 ,197000.0000 ,85000.0000 ,0.0441 ,109.1300 
sh000001,33228.0000 ,109.0700 ,109.1300 ,103.7300 ,109.1300 ,28000.0000 ,16100.0000 ,0.0454 ,114.5500 
sh000001,33231.0000 ,113.5700 ,114.5500 ,109.1300 ,114.5500 ,32000.0000 ,31100.0000 ,0.0497 ,120.2500 
sh000001,33232.0000 ,120.0900 ,120.2500 ,114.5500 ,120.2500 ,15000.0000 ,6500.0000 ,0.0498 ,125.2700 
sh000001,33233.0000 ,125.2700 ,125.2700 ,120.2500 ,125.2700 ,100000.0000 ,53700.0000 ,0.0417 ,125.2800 
sh000001,33234.0000 ,125.2700 ,125.2800 ,125.2700 ,125.2800 ,66000.0000 ,104600.0000 ,0.0001 ,126.4500 
sh000001,33235.0000 ,126.3900 ,126.4500 ,125.2800 ,126.4500 ,108000.0000 ,88000.0000 ,0.0093 ,127.6100 
sh000001,33238.0000 ,126.5600 ,127.6100 ,126.4800 ,127.6100 ,78000.0000 ,60000.0000 ,0.0092 ,128.8400 
sh000001,33240.0000 ,127.6100 ,128.8400 ,127.6100 ,128.8400 ,91000.0000 ,59100.0000 ,0.0096 ,130.1400 
sh000001,33241.0000 ,128.8400 ,130.1400 ,128.8400 ,130.1400 ,141000.0000 ,93900.0000 ,0.0101 ,131.4400 
sh000001,33242.0000 ,131.2700 ,131.4400 ,130.1400 ,131.4400 ,420000.0000 ,261900.0000 ,0.0100 ,132.0600 
sh000001,33245.0000 ,131.9900 ,132.0600 ,131.4500 ,132.0600 ,217000.0000 ,141700.0000 ,0.0047 ,132.6800 
sh000001,33246.0000 ,132.6200 ,132.6800 ,132.0600 ,132.6800 ,2926000.0000 ,1806900.0000 ,0.0047 ,133.3400 
sh000001,33247.0000 ,133.3000 ,133.3400 ,132.6800 ,133.3400 ,5603000.0000 ,3228700.0000 ,0.0050 ,133.9700 
sh000001,33248.0000 ,133.9300 ,133.9700 ,133.3400 ,133.9700 ,9990000.0000 ,5399500.0000 ,0.0047 ,134.6100 
sh000001,33249.0000 ,134.6100 ,134.6000 ,134.5100 ,134.6100 ,13327000.0000 ,7115700.0000 ,0.0047 ,135.1900 
sh000001,33252.0000 ,134.1100 ,134.6700 ,134.1100 ,135.1900 ,12530000.0000 ,6883600.0000 ,0.0005 ,134.7400 
sh000001,33253.0000 ,134.2100 ,134.7400 ,134.1900 ,134.7400 ,1446000.0000 ,1010400.0000 ,0.0005 ,134.7400 
sh000001,33254.0000 ,134.1900 ,134.2400 ,134.1400 ,134.7400 ,509000.0000 ,270100.0000 ,-0.0037 ,134.2500 
