Month,Sales
1-01,3071.5425
1-02,3068.012
1-03,3128.9271
1-04,3117.9739
1-05,3075.0301
1-06,3082.2316
1-07,3081.1773
1-08,3100.8586
1-09,3091.0334
1-10,3136.6448
1-11,3161.4976
1-12,3159.1502
2-01,3174.4127
2-02,3163.2632
2-03,3174.032
2-04,3192.1183
2-05,3169.5652
2-06,3154.2825
2-07,3193.3034
2-08,3213.8404
2-09,3214.3497
2-10,3168.9642
2-11,3154.6506
2-12,3141.3032
3-01,3135.0821
3-02,3120.4605
3-03,3041.4434
3-04,3095.4737
3-05,3075.1372
3-06,3091.1909
3-07,3114.2055
1-01,3115.1803
1-01,3109.4988
1-01,3067.1478
1-01,3052.7831
1-01,3079.8018
1-01,3049.7965
1-01,3044.1597
1-01,3021.9008
1-01,2907.8221
1-01,2915.7314
1-01,2875.8099
1-01,2889.7603
1-01,2859.3364
1-01,2844.5081
1-01,2813.1775
1-01,2786.8966
1-01,2847.4181
1-01,2775.557
1-01,2786.8878
1-01,2759.126
1-01,2733.8819
1-01,2747.2285
1-01,2815.1095
1-01,2827.6252
1-01,2777.7711
1-01,2837.6586
1-01,2831.1837
1-01,2814.0418
1-01,2798.1259
1-01,2787.257
1-01,2772.5454
1-01,2829.2712
1-01,2859.5424
1-01,2905.5618
1-01,2903.6467
1-01,2882.2254
1-01,2873.5938
1-01,2869.0495
1-01,2876.4009
1-01,2824.5337
1-01,2768.0239
1-01,2740.4429
1-01,2705.1565
1-01,2779.374
1-01,2744.0696
1-01,2794.3818
1-01,2795.3099
1-01,2785.872
1-01,2780.9646
1-01,2723.2576
1-01,2705.1917
1-01,2668.966
1-01,2698.4658
1-01,2733.8264
1-01,2714.6082
1-01,2724.6244
1-01,2729.4308
1-01,2780.899
1-01,2777.9808
1-01,2769.2947
1-01,2737.7367
1-01,2725.2499
1-01,2720.7344
1-01,2750.5804
1-01,2704.3368
1-01,2691.5929
1-01,2702.3007
1-01,2669.4845
1-01,2664.7997
1-01,2656.1101
1-01,2686.5784
1-01,2681.6431
1-01,2651.7886
1-01,2699.9501
1-01,2730.8503
1-01,2729.2438
1-01,2797.4848
1-01,2781.1385
1-01,2806.8133
1-01,2791.7748
1-01,2821.3501
1-01,2716.5104
1-01,2721.013
1-01,2725.8367
1-01,2583.4575
1-01,2606.9125
1-01,2568.0984
1-01,2546.3296
1-01,2561.614
1-01,2486.4186
1-01,2550.4652
1-01,2654.8762
1-01,2594.8255
1-01,2603.2951
1-01,2603.7995
1-01,2598.8468
1-01,2542.1033
1-01,2568.0481
1-01,2602.7832
1-01,2606.2372
1-01,2676.4762
1-01,2665.4306
1-01,2659.3564
1-01,2641.342
1-01,2635.6322
1-01,2598.8715
1-01,2630.5195
1-01,2654.8795
1-01,2632.2425
1-01,2668.1704
1-01,2679.1097
1-01,2703.5116
1-01,2645.8545
1-01,2651.5053
1-01,2645.4339
1-01,2579.4831
1-01,2575.8101
1-01,2574.6792
1-01,2601.7365
1-01,2567.4434
1-01,2588.1875
1-01,2654.798
1-01,2665.9577
1-01,2649.8051
1-01,2605.1813
1-01,2605.8876
1-01,2584.5822
1-01,2594.0881
1-01,2602.1526
1-01,2634.0491
1-01,2593.7407
1-01,2597.9737
1-01,2576.6495
1-01,2549.5634
1-01,2536.2675
1-01,2516.2506
1-01,2527.0071
1-01,2504.819
1-01,2498.2939
1-01,2483.0864
1-01,2493.8962
1-01,2465.291
1-01,2464.3628
1-01,2514.8682
1-01,2533.0887
1-01,2526.4622
1-01,2544.3449
1-01,2535.0985
1-01,2553.8313
1-01,2535.7653
1-01,2570.3449
1-01,2570.4221
1-01,2559.637
1-01,2596.0056
1-01,2610.5094
1-01,2579.7041
1-01,2581.0041
1-01,2591.6935
1-01,2601.7234
1-01,2596.9767
1-01,2594.2536
1-01,2575.5756
1-01,2584.5724
1-01,2618.2323
1-01,2653.896
1-01,2671.8937
1-01,2721.0683
1-01,2719.6999
1-01,2682.385
1-01,2754.3566
1-01,2755.6459
1-01,2761.2189
1-01,2751.8012
1-01,2804.2262
1-01,2961.2834
1-01,2941.5163
1-01,2953.8242
1-01,2940.9538
1-01,2994.005
1-01,3027.5755
1-01,3054.2466
1-01,3102.0991
1-01,3106.4179
1-01,2969.8614
1-01,3026.9925
1-01,3060.3073
1-01,3026.9513
1-01,2990.685
1-01,3021.7512
1-01,3096.4176
1-01,3090.975
1-01,3090.6403
1-01,3101.455
1-01,3104.1487
1-01,3043.0313
1-01,2997.0954
1-01,3022.7196
1-01,2994.9434
1-01,3090.758
1-01,3170.361
1-01,3176.8227
1-01,3216.2952
1-01,3246.5714
1-01,3244.8103
1-01,3239.6639
1-01,3241.9299
1-01,3189.9619
1-01,3188.6256
1-01,3177.7866
1-01,3253.5978
1-01,3263.1179
1-01,3250.2012
1-01,3270.7973
1-01,3215.0426
1-01,3198.5938
1-01,3201.6137
1-01,3123.8261
1-01,3086.3989
1-01,3062.4985
1-01,3078.3389
1-01,2906.464
1-01,2926.3908
1-01,2893.7567
1-01,2850.9537
1-01,2939.2106
1-01,2903.7131
1-01,2883.6107
1-01,2938.6781
1-01,2955.711
1-01,2882.2962
1-01,2870.6046
1-01,2905.9688
1-01,2891.7046
1-01,2852.5153
1-01,2852.9948
1-01,2892.3782
1-01,2909.9106
1-01,2914.6964
1-01,2905.8054
1-01,2898.6961
1-01,2890.0809
1-01,2862.2803
1-01,2861.4181
1-01,2827.7978
1-01,2852.1302
1-01,2925.7162
1-01,2909.3796
1-01,2910.7406
1-01,2881.9743
1-01,2887.6221
1-01,2890.158
1-01,2917.8029
1-01,2987.1186
1-01,3001.9802
1-01,3008.1479
1-01,2982.0738
1-01,2976.2837
1-01,2996.7926
1-01,2978.8784
1-01,3044.9028
1-01,3043.9428
1-01,3015.2633
1-01,3005.2488
1-01,3011.0588
1-01,2933.3634
1-01,2928.2295
1-01,2915.3022
1-01,2917.7609
1-01,2930.5462
1-01,2942.1853
1-01,2937.6168
1-01,2931.6926
1-01,2901.1766
1-01,2924.2006
1-01,2886.974
1-01,2899.9446
1-01,2923.2775
1-01,2937.3601
1-01,2944.541
1-01,2941.007
1-01,2952.3383
1-01,2932.5058
1-01,2908.766
1-01,2867.8376
1-01,2821.4957
1-01,2777.5559
1-01,2768.6795
1-01,2794.5523
1-01,2774.7532
1-01,2814.9944
1-01,2797.2596
1-01,2808.9146
1-01,2815.7976
1-01,2823.8238
1-01,2883.096
1-01,2880.0012
1-01,2880.3307
1-01,2883.4358
1-01,2897.4253
1-01,2863.5673
1-01,2902.1932
1-01,2893.7564
1-01,2890.9192
1-01,2886.2365
1-01,2924.1063
1-01,2930.1538
1-01,2957.4116
1-01,2985.8648
1-01,2999.6013
1-01,3024.7388
1-01,3021.2024
1-01,3008.8118
1-01,3031.2351
1-01,3030.7544
1-01,2978.1178
1-01,2985.6586
1-01,2999.2789
1-01,3006.4467
1-01,2977.0767
1-01,2985.3406
1-01,2955.4325
1-01,2929.0875
1-01,2932.167
1-01,2905.1892
1-01,2913.5704
1-01,2924.8566
1-01,2947.7106
1-01,2973.6558
1-01,3007.8834
